Start Date Time,End Date Time,Usage,Avg. Temperature,Peak Demand
12/31/2019 23:45,1/1/2020 0:00,131.16,46,518.34
1/1/2020 0:00,1/1/2020 0:15,131.76,46,520.74
1/1/2020 0:15,1/1/2020 0:30,127.62,46,504.18
1/1/2020 0:30,1/1/2020 0:45,130.08,46,514.02
1/1/2020 0:45,1/1/2020 1:00,130.02,46,513.78
1/1/2020 1:00,1/1/2020 1:15,125.52,45,495.78
1/1/2020 1:15,1/1/2020 1:30,126.54,45,499.86
1/1/2020 1:30,1/1/2020 1:45,129.42,45,511.38
1/1/2020 1:45,1/1/2020 2:00,127.02,45,501.78
1/1/2020 2:00,1/1/2020 2:15,127.5,45,503.7
1/1/2020 2:15,1/1/2020 2:30,129.9,45,513.3
1/1/2020 2:30,1/1/2020 2:45,128.88,45,509.22
1/1/2020 2:45,1/1/2020 3:00,125.22,45,494.58
1/1/2020 3:00,1/1/2020 3:15,127.2,45,502.5
1/1/2020 3:15,1/1/2020 3:30,128.34,45,507.06
1/1/2020 3:30,1/1/2020 3:45,129.66,45,512.34
1/1/2020 3:45,1/1/2020 4:00,128.94,45,509.46
1/1/2020 4:00,1/1/2020 4:15,128.34,44,507.06
1/1/2020 4:15,1/1/2020 4:30,128.52,44,507.78
1/1/2020 4:30,1/1/2020 4:45,127.44,44,503.46
1/1/2020 4:45,1/1/2020 5:00,127.5,44,503.7
1/1/2020 5:00,1/1/2020 5:15,128.34,44,507.06
1/1/2020 5:15,1/1/2020 5:30,131.76,44,520.74
1/1/2020 5:30,1/1/2020 5:45,137.04,44,541.86
1/1/2020 5:45,1/1/2020 6:00,140.4,44,555.3
1/1/2020 6:00,1/1/2020 6:15,142.44,45,563.46
1/1/2020 6:15,1/1/2020 6:30,149.46,45,591.54
1/1/2020 6:30,1/1/2020 6:45,160.08,45,634.02
1/1/2020 6:45,1/1/2020 7:00,168.42,45,667.38
1/1/2020 7:00,1/1/2020 7:15,167.04,44,661.86
1/1/2020 7:15,1/1/2020 7:30,167.52,44,663.78
1/1/2020 7:30,1/1/2020 7:45,170.34,44,675.06
1/1/2020 7:45,1/1/2020 8:00,165.18,44,654.42
1/1/2020 8:00,1/1/2020 8:15,158.16,46,626.34
1/1/2020 8:15,1/1/2020 8:30,157.44,46,623.46
1/1/2020 8:30,1/1/2020 8:45,138.06,46,545.94
1/1/2020 8:45,1/1/2020 9:00,108.72,46,428.58
1/1/2020 9:00,1/1/2020 9:15,98.46,50,387.54
1/1/2020 9:15,1/1/2020 9:30,107.28,50,422.82
1/1/2020 9:30,1/1/2020 9:45,126.24,50,498.66
1/1/2020 9:45,1/1/2020 10:00,69.84,50,273.06
1/1/2020 10:00,1/1/2020 10:15,115.68,52,456.42
1/1/2020 10:15,1/1/2020 10:30,139.5,52,551.7
1/1/2020 10:30,1/1/2020 10:45,150.9,52,597.3
1/1/2020 10:45,1/1/2020 11:00,85.98,52,337.62
1/1/2020 11:00,1/1/2020 11:15,59.22,52,230.58
1/1/2020 11:15,1/1/2020 11:30,52.74,52,204.66
1/1/2020 11:30,1/1/2020 11:45,54.18,52,210.42
1/1/2020 11:45,1/1/2020 12:00,10.8,52,36.9
1/1/2020 12:00,1/1/2020 12:15,8.88,54,29.22
1/1/2020 12:15,1/1/2020 12:30,34.26,54,130.74
1/1/2020 12:30,1/1/2020 12:45,59.58,54,232.02
1/1/2020 12:45,1/1/2020 13:00,86.28,54,338.82
1/1/2020 13:00,1/1/2020 13:15,69.06,56,269.94
1/1/2020 13:15,1/1/2020 13:30,84.66,56,332.34
1/1/2020 13:30,1/1/2020 13:45,93.12,56,366.18
1/1/2020 13:45,1/1/2020 14:00,104.28,56,410.82
1/1/2020 14:00,1/1/2020 14:15,106.44,57,419.46
1/1/2020 14:15,1/1/2020 14:30,99.78,57,392.82
1/1/2020 14:30,1/1/2020 14:45,85.2,57,334.5
1/1/2020 14:45,1/1/2020 15:00,107.28,57,422.82
1/1/2020 15:00,1/1/2020 15:15,118.38,57,467.22
1/1/2020 15:15,1/1/2020 15:30,116.1,57,458.1
1/1/2020 15:30,1/1/2020 15:45,117.54,57,463.86
1/1/2020 15:45,1/1/2020 16:00,126.36,57,499.14
1/1/2020 16:00,1/1/2020 16:15,129,55,509.7
1/1/2020 16:15,1/1/2020 16:30,129.72,55,512.58
1/1/2020 16:30,1/1/2020 16:45,139.2,55,550.5
1/1/2020 16:45,1/1/2020 17:00,140.22,55,554.58
1/1/2020 17:00,1/1/2020 17:15,139.8,51,552.9
1/1/2020 17:15,1/1/2020 17:30,141.42,51,559.38
1/1/2020 17:30,1/1/2020 17:45,137.52,51,543.78
1/1/2020 17:45,1/1/2020 18:00,134.4,51,531.3
1/1/2020 18:00,1/1/2020 18:15,136.08,53,538.02
1/1/2020 18:15,1/1/2020 18:30,139.68,53,552.42
1/1/2020 18:30,1/1/2020 18:45,136.2,53,538.5
1/1/2020 18:45,1/1/2020 19:00,135.78,53,536.82
1/1/2020 19:00,1/1/2020 19:15,133.14,54,526.26
1/1/2020 19:15,1/1/2020 19:30,135.06,54,533.94
1/1/2020 19:30,1/1/2020 19:45,131.4,54,519.3
1/1/2020 19:45,1/1/2020 20:00,130.2,54,514.5
1/1/2020 20:00,1/1/2020 20:15,133.2,54,526.5
1/1/2020 20:15,1/1/2020 20:30,133.38,54,527.22
1/1/2020 20:30,1/1/2020 20:45,128.7,54,508.5
1/1/2020 20:45,1/1/2020 21:00,129.06,54,509.94
1/1/2020 21:00,1/1/2020 21:15,132.3,55,522.9
1/1/2020 21:15,1/1/2020 21:30,131.88,55,521.22
1/1/2020 21:30,1/1/2020 21:45,131.94,55,521.46
1/1/2020 21:45,1/1/2020 22:00,130.44,55,515.46
1/1/2020 22:00,1/1/2020 22:15,133.2,54,526.5
1/1/2020 22:15,1/1/2020 22:30,128.76,54,508.74
1/1/2020 22:30,1/1/2020 22:45,128.46,54,507.54
1/1/2020 22:45,1/1/2020 23:00,130.92,54,517.38
1/1/2020 23:00,1/1/2020 23:15,131.88,53,521.22
1/1/2020 23:15,1/1/2020 23:30,129.9,53,513.3
1/1/2020 23:30,1/1/2020 23:45,130.32,53,514.98
1/1/2020 23:45,1/2/2020 0:00,129.6,53,512.1
1/2/2020 0:00,1/2/2020 0:15,129.78,53,512.82
1/2/2020 0:15,1/2/2020 0:30,128.16,53,506.34
1/2/2020 0:30,1/2/2020 0:45,130.2,53,514.5
1/2/2020 0:45,1/2/2020 1:00,131.82,53,520.98
1/2/2020 1:00,1/2/2020 1:15,132.72,54,524.58
1/2/2020 1:15,1/2/2020 1:30,128.76,54,508.74
1/2/2020 1:30,1/2/2020 1:45,127.02,54,501.78
1/2/2020 1:45,1/2/2020 2:00,128.82,54,508.98
1/2/2020 2:00,1/2/2020 2:15,129.78,54,512.82
1/2/2020 2:15,1/2/2020 2:30,130.08,54,514.02
1/2/2020 2:30,1/2/2020 2:45,130.14,54,514.26
1/2/2020 2:45,1/2/2020 3:00,132,54,521.7
1/2/2020 3:00,1/2/2020 3:15,129.42,54,511.38
1/2/2020 3:15,1/2/2020 3:30,126.66,54,500.34
1/2/2020 3:30,1/2/2020 3:45,126.66,54,500.34
1/2/2020 3:45,1/2/2020 4:00,129.66,54,512.34
1/2/2020 4:00,1/2/2020 4:15,128.22,53,506.58
1/2/2020 4:15,1/2/2020 4:30,128.1,53,506.1
1/2/2020 4:30,1/2/2020 4:45,130.08,53,514.02
1/2/2020 4:45,1/2/2020 5:00,133.8,53,528.9
1/2/2020 5:00,1/2/2020 5:15,131.88,49,521.22
1/2/2020 5:15,1/2/2020 5:30,130.68,49,516.42
1/2/2020 5:30,1/2/2020 5:45,136.98,49,541.62
1/2/2020 5:45,1/2/2020 6:00,142.8,49,564.9
1/2/2020 6:00,1/2/2020 6:15,138.84,48,549.06
1/2/2020 6:15,1/2/2020 6:30,139.98,48,553.62
1/2/2020 6:30,1/2/2020 6:45,140.76,48,556.74
1/2/2020 6:45,1/2/2020 7:00,140.1,48,554.1
1/2/2020 7:00,1/2/2020 7:15,141.3,47,558.9
1/2/2020 7:15,1/2/2020 7:30,144.6,47,572.1
1/2/2020 7:30,1/2/2020 7:45,142.14,47,562.26
1/2/2020 7:45,1/2/2020 8:00,153.54,47,607.86
1/2/2020 8:00,1/2/2020 8:15,159.42,48,631.38
1/2/2020 8:15,1/2/2020 8:30,139.5,48,551.7
1/2/2020 8:30,1/2/2020 8:45,112.14,48,442.26
1/2/2020 8:45,1/2/2020 9:00,109.68,48,432.42
1/2/2020 9:00,1/2/2020 9:15,124.08,51,490.02
1/2/2020 9:15,1/2/2020 9:30,115.5,51,455.7
1/2/2020 9:30,1/2/2020 9:45,94.32,51,370.98
1/2/2020 9:45,1/2/2020 10:00,82.02,51,321.78
1/2/2020 10:00,1/2/2020 10:15,60.36,54,235.14
1/2/2020 10:15,1/2/2020 10:30,60.66,54,236.34
1/2/2020 10:30,1/2/2020 10:45,57.48,54,223.62
1/2/2020 10:45,1/2/2020 11:00,61.26,54,238.74
1/2/2020 11:00,1/2/2020 11:15,44.28,56,170.82
1/2/2020 11:15,1/2/2020 11:30,38.82,56,148.98
1/2/2020 11:30,1/2/2020 11:45,1.2,56,-1.5
1/2/2020 11:45,1/2/2020 12:00,14.28,56,50.82
1/2/2020 12:00,1/2/2020 12:15,6.06,59,17.94
1/2/2020 12:15,1/2/2020 12:30,12.3,59,42.9
1/2/2020 12:30,1/2/2020 12:45,41.4,59,159.3
1/2/2020 12:45,1/2/2020 13:00,51.66,59,200.34
1/2/2020 13:00,1/2/2020 13:15,37.92,61,145.38
1/2/2020 13:15,1/2/2020 13:30,53.46,61,207.54
1/2/2020 13:30,1/2/2020 13:45,88.74,61,348.66
1/2/2020 13:45,1/2/2020 14:00,65.52,61,255.78
1/2/2020 14:00,1/2/2020 14:15,66.3,62,258.9
1/2/2020 14:15,1/2/2020 14:30,76.38,62,299.22
1/2/2020 14:30,1/2/2020 14:45,83.52,62,327.78
1/2/2020 14:45,1/2/2020 15:00,95.76,62,376.74
1/2/2020 15:00,1/2/2020 15:15,111.3,62,438.9
1/2/2020 15:15,1/2/2020 15:30,130.02,62,513.78
1/2/2020 15:30,1/2/2020 15:45,145.2,62,574.5
1/2/2020 15:45,1/2/2020 16:00,147.06,62,581.94
1/2/2020 16:00,1/2/2020 16:15,174,59,689.7
1/2/2020 16:15,1/2/2020 16:30,157.68,59,624.42
1/2/2020 16:30,1/2/2020 16:45,159.18,59,630.42
1/2/2020 16:45,1/2/2020 17:00,197.22,59,782.58
1/2/2020 17:00,1/2/2020 17:15,192.3,56,762.9
1/2/2020 17:15,1/2/2020 17:30,176.7,56,700.5
1/2/2020 17:30,1/2/2020 17:45,169.26,56,670.74
1/2/2020 17:45,1/2/2020 18:00,169.8,56,672.9
1/2/2020 18:00,1/2/2020 18:15,156.84,54,621.06
1/2/2020 18:15,1/2/2020 18:30,155.64,54,616.26
1/2/2020 18:30,1/2/2020 18:45,164.64,54,652.26
1/2/2020 18:45,1/2/2020 19:00,157.5,54,623.7
1/2/2020 19:00,1/2/2020 19:15,153.12,54,606.18
1/2/2020 19:15,1/2/2020 19:30,162.42,54,643.38
1/2/2020 19:30,1/2/2020 19:45,151.44,54,599.46
1/2/2020 19:45,1/2/2020 20:00,123.24,54,486.66
1/2/2020 20:00,1/2/2020 20:15,124.68,53,492.42
1/2/2020 20:15,1/2/2020 20:30,126.54,53,499.86
1/2/2020 20:30,1/2/2020 20:45,126.96,53,501.54
1/2/2020 20:45,1/2/2020 21:00,128.76,53,508.74
1/2/2020 21:00,1/2/2020 21:15,127.56,52,503.94
1/2/2020 21:15,1/2/2020 21:30,129.12,52,510.18
1/2/2020 21:30,1/2/2020 21:45,130.26,52,514.74
1/2/2020 21:45,1/2/2020 22:00,132.48,52,523.62
