Start Date Time,End Date Time,Usage,Avg. Temperature,Peak Demand
1/31/2019 23:45,2/1/2019 0:00,32.5,57,123.4
2/1/2019 0:00,2/1/2019 0:15,33.7,57,128.2
2/1/2019 0:15,2/1/2019 0:30,33.4,57,127
2/1/2019 0:30,2/1/2019 0:45,33.4,57,127
2/1/2019 0:45,2/1/2019 1:00,33.1,57,125.8
2/1/2019 1:00,2/1/2019 1:15,32.5,56,123.4
2/1/2019 1:15,2/1/2019 1:30,33.4,56,127
2/1/2019 1:30,2/1/2019 1:45,33.4,56,127
2/1/2019 1:45,2/1/2019 2:00,31.9,56,121
2/1/2019 2:00,2/1/2019 2:15,32.5,56,123.4
2/1/2019 2:15,2/1/2019 2:30,32.8,56,124.6
2/1/2019 2:30,2/1/2019 2:45,31.9,56,121
2/1/2019 2:45,2/1/2019 3:00,31.6,56,119.8
2/1/2019 3:00,2/1/2019 3:15,31.3,56,118.6
2/1/2019 3:15,2/1/2019 3:30,31,56,117.4
2/1/2019 3:30,2/1/2019 3:45,31.6,56,119.8
2/1/2019 3:45,2/1/2019 4:00,32.2,56,122.2
2/1/2019 4:00,2/1/2019 4:15,37,54,141.4
2/1/2019 4:15,2/1/2019 4:30,37.9,54,145
2/1/2019 4:30,2/1/2019 4:45,43.6,54,167.8
2/1/2019 4:45,2/1/2019 5:00,42.4,54,163
2/1/2019 5:00,2/1/2019 5:15,46.6,53,179.8
2/1/2019 5:15,2/1/2019 5:30,49,53,189.4
2/1/2019 5:30,2/1/2019 5:45,43.3,53,166.6
2/1/2019 5:45,2/1/2019 6:00,41.8,53,160.6
2/1/2019 6:00,2/1/2019 6:15,53.8,53,208.6
2/1/2019 6:15,2/1/2019 6:30,49.6,53,191.8
2/1/2019 6:30,2/1/2019 6:45,49,53,189.4
2/1/2019 6:45,2/1/2019 7:00,47.2,53,182.2
2/1/2019 7:00,2/1/2019 7:15,47.8,54,184.6
2/1/2019 7:15,2/1/2019 7:30,46.9,54,181
2/1/2019 7:30,2/1/2019 7:45,46.9,54,181
2/1/2019 7:45,2/1/2019 8:00,46.9,54,181
2/1/2019 8:00,2/1/2019 8:15,46.6,53,179.8
2/1/2019 8:15,2/1/2019 8:30,46.6,53,179.8
2/1/2019 8:30,2/1/2019 8:45,47.2,53,182.2
2/1/2019 8:45,2/1/2019 9:00,49,53,189.4
2/1/2019 9:00,2/1/2019 9:15,49.6,55,191.8
2/1/2019 9:15,2/1/2019 9:30,50.2,55,194.2
2/1/2019 9:30,2/1/2019 9:45,51.1,55,197.8
2/1/2019 9:45,2/1/2019 10:00,50.8,55,196.6
