Start Date Time,End Date Time,Usage,Avg. Temperature,Peak Demand
4/5/2020 0:00,4/5/2020 0:15,34.5,55,138
4/5/2020 0:15,4/5/2020 0:30,35.52,55,142.08
4/5/2020 0:30,4/5/2020 0:45,34.2,55,136.8
4/5/2020 0:45,4/5/2020 1:00,35.22,55,140.88
4/5/2020 1:00,4/5/2020 1:15,35.34,55,141.36
4/5/2020 1:15,4/5/2020 1:30,32.7,55,130.8
4/5/2020 1:30,4/5/2020 1:45,31.74,55,126.96
4/5/2020 1:45,4/5/2020 2:00,31.68,55,126.72
4/5/2020 2:00,4/5/2020 2:15,32.76,53,131.04
4/5/2020 2:15,4/5/2020 2:30,36.24,53,144.96
4/5/2020 2:30,4/5/2020 2:45,32.7,53,130.8
4/5/2020 2:45,4/5/2020 3:00,35.22,53,140.88
4/5/2020 3:00,4/5/2020 3:15,43.92,54,175.68
4/5/2020 3:15,4/5/2020 3:30,44.64,54,178.56
4/5/2020 3:30,4/5/2020 3:45,43.38,54,173.52
4/5/2020 3:45,4/5/2020 4:00,45.18,54,180.72
4/5/2020 4:00,4/5/2020 4:15,37.08,53,148.32
4/5/2020 4:15,4/5/2020 4:30,35.58,53,142.32
4/5/2020 4:30,4/5/2020 4:45,33.42,53,133.68
4/5/2020 4:45,4/5/2020 5:00,30.54,53,122.16
4/5/2020 5:00,4/5/2020 5:15,29.16,53,116.64
4/5/2020 5:15,4/5/2020 5:30,27.36,53,109.44
4/5/2020 5:30,4/5/2020 5:45,26.58,53,106.32
4/5/2020 5:45,4/5/2020 6:00,27.12,53,108.48
4/5/2020 6:00,4/5/2020 6:15,24.9,53,99.6
4/5/2020 6:15,4/5/2020 6:30,31.38,53,125.52
4/5/2020 6:30,4/5/2020 6:45,29.94,53,119.76
4/5/2020 6:45,4/5/2020 7:00,25.8,53,103.2
4/5/2020 7:00,4/5/2020 7:15,25.74,55,102.96
4/5/2020 7:15,4/5/2020 7:30,26.4,55,105.6
4/5/2020 7:30,4/5/2020 7:45,27.18,55,108.72
4/5/2020 7:45,4/5/2020 8:00,26.4,55,105.6
4/5/2020 8:00,4/5/2020 8:15,27.6,52,110.4
4/5/2020 8:15,4/5/2020 8:30,27.12,52,108.48
4/5/2020 8:30,4/5/2020 8:45,26.1,52,104.4
4/5/2020 8:45,4/5/2020 9:00,24.72,52,98.88
4/5/2020 9:00,4/5/2020 9:15,25.62,52,102.48
4/5/2020 9:15,4/5/2020 9:30,25.56,52,102.24
4/5/2020 9:30,4/5/2020 9:45,28.68,52,114.72
4/5/2020 9:45,4/5/2020 10:00,32.64,52,130.56
4/5/2020 10:00,4/5/2020 10:15,32.1,50,128.4
4/5/2020 10:15,4/5/2020 10:30,31.08,50,124.32
4/5/2020 10:30,4/5/2020 10:45,31.8,50,127.2
4/5/2020 10:45,4/5/2020 11:00,31.8,50,127.2
4/5/2020 11:00,4/5/2020 11:15,31.56,53,126.24
4/5/2020 11:15,4/5/2020 11:30,31.86,53,127.44
4/5/2020 11:30,4/5/2020 11:45,32.46,53,129.84
4/5/2020 11:45,4/5/2020 12:00,33.78,53,135.12
4/5/2020 12:00,4/5/2020 12:15,31.98,52,127.92
4/5/2020 12:15,4/5/2020 12:30,31.38,52,125.52
4/5/2020 12:30,4/5/2020 12:45,32.82,52,131.28
4/5/2020 12:45,4/5/2020 13:00,32.34,52,129.36
4/5/2020 13:00,4/5/2020 13:15,32.22,53,128.88
4/5/2020 13:15,4/5/2020 13:30,31.44,53,125.76
4/5/2020 13:30,4/5/2020 13:45,31.5,53,126
4/5/2020 13:45,4/5/2020 14:00,33.06,53,132.24
4/5/2020 14:00,4/5/2020 14:15,32.16,53,128.64
4/5/2020 14:15,4/5/2020 14:30,33.48,53,133.92
4/5/2020 14:30,4/5/2020 14:45,34.32,53,137.28
4/5/2020 14:45,4/5/2020 15:00,33.18,53,132.72
4/5/2020 15:00,4/5/2020 15:15,34.62,53,138.48
4/5/2020 15:15,4/5/2020 15:30,35.46,53,141.84
4/5/2020 15:30,4/5/2020 15:45,36.84,53,147.36
4/5/2020 15:45,4/5/2020 16:00,37.62,53,150.48
4/5/2020 16:00,4/5/2020 16:15,34.98,53,139.92
4/5/2020 16:15,4/5/2020 16:30,33.66,53,134.64
4/5/2020 16:30,4/5/2020 16:45,33.36,53,133.44
4/5/2020 16:45,4/5/2020 17:00,33.6,53,134.4
4/5/2020 17:00,4/5/2020 17:15,32.58,55,130.32
4/5/2020 17:15,4/5/2020 17:30,33.3,55,133.2
4/5/2020 17:30,4/5/2020 17:45,34.38,55,137.52
4/5/2020 17:45,4/5/2020 18:00,37.02,55,148.08
4/5/2020 18:00,4/5/2020 18:15,34.8,53,139.2
4/5/2020 18:15,4/5/2020 18:30,34.08,53,136.32
4/5/2020 18:30,4/5/2020 18:45,34.98,53,139.92
4/5/2020 18:45,4/5/2020 19:00,36.12,53,144.48
4/5/2020 19:00,4/5/2020 19:15,32.94,55,131.76
4/5/2020 19:15,4/5/2020 19:30,32.88,55,131.52
4/5/2020 19:30,4/5/2020 19:45,36.48,55,145.92
4/5/2020 19:45,4/5/2020 20:00,34.68,55,138.72
4/5/2020 20:00,4/5/2020 20:15,33.6,53,134.4
4/5/2020 20:15,4/5/2020 20:30,33.72,53,134.88
4/5/2020 20:30,4/5/2020 20:45,34.68,53,138.72
4/5/2020 20:45,4/5/2020 21:00,33.72,53,134.88
4/5/2020 21:00,4/5/2020 21:15,32.1,52,128.4
4/5/2020 21:15,4/5/2020 21:30,31.56,52,126.24
4/5/2020 21:30,4/5/2020 21:45,33.18,52,132.72
4/5/2020 21:45,4/5/2020 22:00,32.76,52,131.04
4/5/2020 22:00,4/5/2020 22:15,31.62,51,126.48
4/5/2020 22:15,4/5/2020 22:30,28.92,51,115.68
4/5/2020 22:30,4/5/2020 22:45,28.62,51,114.48
4/5/2020 22:45,4/5/2020 23:00,27.42,51,109.68
4/5/2020 23:00,4/5/2020 23:15,27.6,50,110.4
4/5/2020 23:15,4/5/2020 23:30,27.6,50,110.4
4/5/2020 23:30,4/5/2020 23:45,26.46,50,105.84
4/5/2020 23:45,4/6/2020 0:00,27.12,50,108.48
4/6/2020 0:00,4/6/2020 0:15,27.54,49,110.16
4/6/2020 0:15,4/6/2020 0:30,29.82,49,119.28
4/6/2020 0:30,4/6/2020 0:45,26.28,49,105.12
4/6/2020 0:45,4/6/2020 1:00,25.86,49,103.44
4/6/2020 1:00,4/6/2020 1:15,26.94,47,107.76
4/6/2020 1:15,4/6/2020 1:30,26.22,47,104.88
4/6/2020 1:30,4/6/2020 1:45,25.56,47,102.24
4/6/2020 1:45,4/6/2020 2:00,26.46,47,105.84
4/6/2020 2:00,4/6/2020 2:15,25.62,44,102.48
4/6/2020 2:15,4/6/2020 2:30,24.66,44,98.64
4/6/2020 2:30,4/6/2020 2:45,26.64,44,106.56
4/6/2020 2:45,4/6/2020 3:00,26.16,44,104.64
4/6/2020 3:00,4/6/2020 3:15,32.7,45,130.8
4/6/2020 3:15,4/6/2020 3:30,32.58,45,130.32
4/6/2020 3:30,4/6/2020 3:45,32.16,45,128.64
4/6/2020 3:45,4/6/2020 4:00,32.52,45,130.08
4/6/2020 4:00,4/6/2020 4:15,24,44,96
4/6/2020 4:15,4/6/2020 4:30,22.68,44,90.72
4/6/2020 4:30,4/6/2020 4:45,27.06,44,108.24
4/6/2020 4:45,4/6/2020 5:00,28.8,44,115.2
4/6/2020 5:00,4/6/2020 5:15,29.04,46,116.16
4/6/2020 5:15,4/6/2020 5:30,28.14,46,112.56
4/6/2020 5:30,4/6/2020 5:45,28.26,46,113.04
4/6/2020 5:45,4/6/2020 6:00,27.54,46,110.16
4/6/2020 6:00,4/6/2020 6:15,35.88,46,143.52
4/6/2020 6:15,4/6/2020 6:30,35.64,46,142.56
